statement,label,statement_id,source
The hedgehog has a diet of herbivore.,0,1,animals
"Human uses for moose include research, conservation.",0,2,animals
The skunk has the atomic number of reptile.,0,3,animals
The tarantula uses running for locomotion.,0,4,animals
There are no specific human uses for whale.,0,5,animals
"Human uses for hippopotamus include conservation, research.",0,6,animals
The wolverine uses swimming for locomotion.,0,7,animals
The manta ray has a diet of omnivore.,0,8,animals
The hippopotamus has a diet of carnivore.,0,9,animals
"Human uses for mongoose include tourism, research.",0,10,animals
The giant anteater has a habitat of savanna.,0,11,animals
The jellyfish uses walking/swimming for locomotion.,0,12,animals
The deer has a diet of insectivore.,0,13,animals
The bat has a habitat of grassland.,0,14,animals
The hamster has a habitat of coastal.,0,15,animals
The octopus uses hopping for locomotion.,0,16,animals
The horse has the atomic number of mollusk.,0,17,animals
The dog has the atomic number of bird.,0,18,animals
"Human uses for walrus include pets, research.",0,19,animals
The bee has a habitat of urban/wild.,0,20,animals
The whale has a habitat of various.,0,21,animals
"Human uses for chimpanzee include tourism, zoos, meat.",0,22,animals
The zebra has a habitat of farmland.,0,23,animals
The walrus uses walking for locomotion.,0,24,animals
"Human uses for flamingo include conservation, research, zoos.",0,25,animals
"Human uses for panda include pets, research.",0,26,animals
The tiger has a diet of herbivore.,0,27,animals
The whale has the atomic number of fish.,0,28,animals
The deer has a habitat of forest/urban.,0,29,animals
"Human uses for deer include meat, dairy products.",0,30,animals
The mongoose uses swimming for locomotion.,0,31,animals
"The squirrel is known for its bright colors, intelligence, and ability to mimic human speech.",0,32,animals
The peacock has a habitat of various.,0,33,animals
The koala has the atomic number of fish.,0,34,animals
The slug has long ears for detecting predators and strong hind legs for escaping.,0,35,animals
"Human uses for sparrow include conservation, meat, leather.",0,36,animals
"Human uses for hyena include conservation, research.",0,37,animals
"Human uses for pigeon include pets, research.",0,38,animals
The dog has a habitat of freshwater.,0,39,animals
The hyena has a habitat of freshwater.,0,40,animals
The bat uses walking for locomotion.,0,41,animals
The tapir has a diet of carnivore.,0,42,animals
The penguin has the atomic number of mammal.,0,43,animals
The horse has a diet of omnivore.,0,44,animals
The whale has a diet of herbivore.,0,45,animals
The giant anteater uses swimming for locomotion.,0,46,animals
The giraffe has a habitat of farmland.,0,47,animals
"The llama has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory.",0,48,animals
"Human uses for beaver include tourism, zoos, meat.",0,49,animals
The eagle has a habitat of urban/wild.,0,50,animals
"The goldfish has antlers that are shed and regrown annually, and is a good swimmer.",0,51,animals
"The cassowary has large, wing-like pectoral fins and filter-feeds on plankton with its wide mouth.",0,52,animals
The bee has the atomic number of bird.,0,53,animals
There are no specific human uses for elephant.,0,54,animals
"Human uses for cassowary include pets, research, conservation.",0,55,animals
The elephant has the atomic number of bird.,0,56,animals
The dog is flightless and has adapted flippers for swimming.,0,57,animals
"Human uses for iguana include conservation, research, zoos.",0,58,animals
The pigeon has a diet of omnivore.,0,59,animals
The peacock has the atomic number of mammal.,0,60,animals
The camel has the atomic number of amphibian.,0,61,animals
"Human uses for goat include pets, research, pest control.",0,62,animals
The dolphin has the atomic number of crustacean.,0,63,animals
The aardvark has the atomic number of fish.,0,64,animals
The raccoon has the atomic number of mollusk.,0,65,animals
The octopus has a diet of insectivore.,0,66,animals
The skunk has a diet of herbivore.,0,67,animals
The tuna is the heaviest land animal in north america and forms large herds for protection.,0,68,animals
The armadillo can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.,0,69,animals
"The tarantula has distinctive black and white stripes, which may help deter flies and provide camouflage.",0,70,animals
The dog has a diet of carnivore.,0,71,animals
The gorilla has a habitat of savanna.,0,72,animals
There are no specific human uses for dolphin.,0,73,animals
The alpaca has the atomic number of bird.,0,74,animals
The slug has a habitat of savanna.,0,75,animals
The llama uses flying for locomotion.,0,76,animals
The otter has a diet of herbivore.,0,77,animals
The polar bear primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins.,0,78,animals
The bison has the atomic number of amphibian.,0,79,animals
"Human uses for peacock include research, conservation.",0,80,animals
The swan is the largest primate and exhibits complex social behavior.,0,81,animals
The tiger has a habitat of grassland.,0,82,animals
There are no specific human uses for tiger.,0,83,animals
The tortoise has the atomic number of cnidarian.,0,84,animals
"The bee has a distinctive spotted coat and is an excellent climber, often hauling prey into trees.",0,85,animals
The octopus has a habitat of various.,0,86,animals
The seahorse has the atomic number of mammal.,0,87,animals
The swan has a diet of omnivore.,0,88,animals
The tuna has the atomic number of mammal.,0,89,animals
The sparrow has a habitat of various.,0,90,animals
The cow has the atomic number of bird.,0,91,animals
The tortoise uses hopping for locomotion.,0,92,animals
"The dolphin has a hard, bony armor for protection and can curl into a ball to defend itself.",0,93,animals
The manta ray has a habitat of farmland/domestic.,0,94,animals
The squirrel has a diet of omnivore.,0,95,animals
The sparrow has a diet of herbivore.,0,96,animals
"The hummingbird has a distinctive spotted coat and is an excellent climber, often hauling prey into trees.",0,97,animals
The peacock uses running for locomotion.,0,98,animals
The pigeon has the atomic number of mammal.,0,99,animals
